old_symbol	updated_symbol
2310068J16Rik	2310068J16Rik
2310069B03Rik	2310069B03Rik
2310069G16Rik	2310069G16Rik
2310075C17Rik	2310075C17Rik
2310079G19Rik	2310079G19Rik
2310081J21Rik	2310081J21Rik
2400006E01Rik	2400006E01Rik
2410002F23Rik	2410002F23Rik
2410003L11Rik	2410003L11Rik
2410004B18Rik	2410004B18Rik
2410004I01Rik	2410004I01Rik
2410004P03Rik	2410004P03Rik
2410006H16Rik	2410006H16Rik
2410012E07Rik	2410012E07Rik
2410015M20Rik	Micos13
2410016O06Rik	Riox1
2410017I17Rik	2410017I17Rik
2410018L13Rik	2410018L13Rik
2410021H03Rik	2410021H03Rik
2410089E03Rik	Cplane1
2410124H12Rik	2410124H12Rik
2410127L17Rik	Carnmt1
2410131K14Rik	Spring1
2410137M14Rik	2410137M14Rik
2410141K09Rik	Zfp998
2500002B13Rik	2500002B13Rik
2500004C02Rik	2500004C02Rik
2510002D24Rik	2510002D24Rik
2510003B16Rik	2510003B16Rik
2510009E07Rik	2510009E07Rik
2510039O18Rik	2510039O18Rik
2610001J05Rik	Smim30
2610002M06Rik	Chmp1b2
2610005L07Rik	2610005L07Rik
2610008E11Rik	2610008E11Rik
2610015P09Rik	Ccdc191
2610016A17Rik	2610016A17Rik
2610020C07Rik	2610020C07Rik
2610020H08Rik	Rexo5
2610027K06Rik	2610027K06Rik
2610028E06Rik	2610028E06Rik
2610028H24Rik	2610028H24Rik
2610035D17Rik	2610035D17Rik
2610035F20Rik	2610035F20Rik
2610037D02Rik	2610037D02Rik
2610042L04Rik	2610042L04Rik
2610044O15Rik8	2610044O15Rik8
2610100L16Rik	Mir124-2hg
2610203C22Rik	2610203C22Rik
2610206C17Rik	2610206C17Rik
2610301B20Rik	Cfap418
2610305D13Rik	Zfp979
2610306M01Rik	2610306M01Rik
2610307P16Rik	2610307P16Rik
2610316D01Rik	2610316D01Rik
2610318N02Rik	2610318N02Rik
2610507B11Rik	Bltp2
2610507I01Rik	2610507I01Rik
2610524H06Rik	2610524H06Rik
2610528A11Rik	Gpr15lg
2610528J11Rik	2610528J11Rik
2700029M09Rik	Hpf1
2700038G22Rik	2700038G22Rik
2700046A07Rik	2700046A07Rik
2700046G09Rik	Sgms1os1
2700049A03Rik	2700049A03Rik
2700054A10Rik	2700054A10Rik
2700060E02Rik	Rtraf
2700062C07Rik	2700062C07Rik
2700069I18Rik	2700069I18Rik
2700070H01Rik	2700070H01Rik
2700081O15Rik	Zfta
2700089I24Rik	2700089I24Rik
2700094K13Rik	Selenoh
2700097O09Rik	2700097O09Rik
2700099C18Rik	2700099C18Rik
2810001G20Rik	2810001G20Rik
2810002D19Rik	2810002D19Rik
2810004N23Rik	2810004N23Rik
2810006K23Rik	Mtrfr
2810013P06Rik	2810013P06Rik
2810021J22Rik	2810021J22Rik
2810025M15Rik	2810025M15Rik
2810029C07Rik	2810029C07Rik
2810032G03Rik	2810032G03Rik
2810047C21Rik1	2810047C21Rik1
2810049E08Rik	2810049E08Rik
2810403A07Rik	Khdc4
2810403D21Rik	2810403D21Rik
2810404M03Rik	2810404M03Rik
2810405F15Rik	2810405F15Rik
2810408A11Rik	2810408A11Rik
2810408I11Rik	2810408I11Rik
2810410L24Rik	Reno1
2810417H13Rik	Pclaf
2810428I15Rik	Rex1bd
2810429I04Rik	2810429I04Rik
2810433D01Rik	2810433D01Rik
2810442N19Rik	2810442N19Rik
2810454H06Rik	2810454H06Rik
2810459M11Rik	2810459M11Rik
2810468N07Rik	Cerox1
2810471M01Rik	2810471M01Rik
2810474O19Rik	Resf1
2900005J15Rik	2900005J15Rik
2900008C10Rik	Bcor
2900009J06Rik	2900009J06Rik
2900011O08Rik	Bmerb1
2900026A02Rik	2900026A02Rik
2900041M22Rik	2900041M22Rik
2900052N01Rik	2900052N01Rik
2900055J20Rik	Kctd16
2900057B20Rik	2900057B20Rik
2900060B14Rik	2900060B14Rik
2900076A07Rik	2900076A07Rik
2900079G21Rik	2900079G21Rik
2900092C05Rik	2900092C05Rik
2900092D14Rik	2900092D14Rik
2900097C17Rik	Norad
3000002C10Rik	3000002C10Rik
3010001F23Rik	3010001F23Rik
3010026O09Rik	Mrnip
3100003L05Rik	3100003L05Rik
3110001I22Rik	Pphln1-ps1
3110002H16Rik	Rmc1
3110009E18Rik	3110009E18Rik
3110009F21Rik	3110009F21Rik
3110015C05Rik	3110015C05Rik
3110021A11Rik	3110021A11Rik
3110021N24Rik	3110021N24Rik
3110035E14Rik	Vxn
3110039I08Rik	Mir100hg
3110039M20Rik	3110039M20Rik
3110040N11Rik	3110040N11Rik
3110043O21Rik	C9orf72
3110045C21Rik	3110045C21Rik
3110052M02Rik	Zfp983
3110056K07Rik	3110056K07Rik
3110057O12Rik	Abhd18
3110062M04Rik	Cyren
3110070M22Rik	3110070M22Rik
3110079O15Rik	Snorc
3110082I17Rik	3110082I17Rik
3110082J24Rik	3110082J24Rik
3110099E03Rik	3110099E03Rik
3200001D21Rik	3200001D21Rik
3300002I08Rik	3300002I08Rik
