"ID","Sets","N_Sets","Size"
"111100110001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",7,5
"111111100011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",9,5
"000000010101","GLUTag_24h, PCCL3_24h, QGP1_24h",3,4
"000000110011","GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",4,4
"000001000111","MGN3_24h, PCCL3_24h, QGP1_6h, QGP1_24h",4,4
"000001001010","MGN3_24h, PCCL3_6h, QGP1_6h",3,4
"000001001110","MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,4
"000001010011","MGN3_24h, GLUTag_24h, QGP1_6h, QGP1_24h",4,4
"000001100001","MGN3_24h, GLUTag_6h, QGP1_24h",3,4
"000001101000","MGN3_24h, GLUTag_6h, PCCL3_6h",3,4
"000010000011","MGN3_6h, QGP1_6h, QGP1_24h",3,4
"000010000100","MGN3_6h, PCCL3_24h",2,4
"000011001000","MGN3_6h, MGN3_24h, PCCL3_6h",3,4
"000011001100","MGN3_6h, MGN3_24h, PCCL3_6h, PCCL3_24h",4,4
"000011010000","MGN3_6h, MGN3_24h, GLUTag_24h",3,4
"000100001010","aTC1_24h, PCCL3_6h, QGP1_6h",3,4
"000100001111","aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,4
"000101010000","aTC1_24h, MGN3_24h, GLUTag_24h",3,4
"001000001100","aTC1_6h, PCCL3_6h, PCCL3_24h",3,4
"001000100010","aTC1_6h, GLUTag_6h, QGP1_6h",3,4
"001000101100","aTC1_6h, GLUTag_6h, PCCL3_6h, PCCL3_24h",4,4
"001010001000","aTC1_6h, MGN3_6h, PCCL3_6h",3,4
"001100010000","aTC1_6h, aTC1_24h, GLUTag_24h",3,4
"001100100001","aTC1_6h, aTC1_24h, GLUTag_6h, QGP1_24h",4,4
"010000001011","MIN6_24h, PCCL3_6h, QGP1_6h, QGP1_24h",4,4
"010000001111","MIN6_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,4
"010000010100","MIN6_24h, GLUTag_24h, PCCL3_24h",3,4
"010000100001","MIN6_24h, GLUTag_6h, QGP1_24h",3,4
"010001100011","MIN6_24h, MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",5,4
"010100001100","MIN6_24h, aTC1_24h, PCCL3_6h, PCCL3_24h",4,4
"010101000001","MIN6_24h, aTC1_24h, MGN3_24h, QGP1_24h",4,4
"011000000011","MIN6_24h, aTC1_6h, QGP1_6h, QGP1_24h",4,4
"011100001000","MIN6_24h, aTC1_6h, aTC1_24h, PCCL3_6h",4,4
"011101000011","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, QGP1_6h, QGP1_24h",6,4
"011101000100","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, PCCL3_24h",5,4
"011101001100","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, PCCL3_6h, PCCL3_24h",6,4
"011111111111","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",11,4
"100000011100","MIN6_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",4,4
"100000100011","MIN6_6h, GLUTag_6h, QGP1_6h, QGP1_24h",4,4
"100000101100","MIN6_6h, GLUTag_6h, PCCL3_6h, PCCL3_24h",4,4
"100001000001","MIN6_6h, MGN3_24h, QGP1_24h",3,4
"100010001000","MIN6_6h, MGN3_6h, PCCL3_6h",3,4
"101100000001","MIN6_6h, aTC1_6h, aTC1_24h, QGP1_24h",4,4
"101100001000","MIN6_6h, aTC1_6h, aTC1_24h, PCCL3_6h",4,4
"101101100000","MIN6_6h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h",5,4
"110000010011","MIN6_6h, MIN6_24h, GLUTag_24h, QGP1_6h, QGP1_24h",5,4
"110001000001","MIN6_6h, MIN6_24h, MGN3_24h, QGP1_24h",4,4
"110001000010","MIN6_6h, MIN6_24h, MGN3_24h, QGP1_6h",4,4
"110001000011","MIN6_6h, MIN6_24h, MGN3_24h, QGP1_6h, QGP1_24h",5,4
"110001001100","MIN6_6h, MIN6_24h, MGN3_24h, PCCL3_6h, PCCL3_24h",5,4
"110001110000","MIN6_6h, MIN6_24h, MGN3_24h, GLUTag_6h, GLUTag_24h",5,4
"110100100000","MIN6_6h, MIN6_24h, aTC1_24h, GLUTag_6h",4,4
"110101110011","MIN6_6h, MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",8,4
"111000000011","MIN6_6h, MIN6_24h, aTC1_6h, QGP1_6h, QGP1_24h",5,4
"111100001100","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, PCCL3_6h, PCCL3_24h",6,4
"111101111011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, QGP1_6h, QGP1_24h",10,4
"111101111111","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",11,4
"111110100000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, GLUTag_6h",6,4
"111111100001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, QGP1_24h",8,4
"000000011011","GLUTag_24h, PCCL3_6h, QGP1_6h, QGP1_24h",4,3
"000000011111","GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,3
"000000100111","GLUTag_6h, PCCL3_24h, QGP1_6h, QGP1_24h",4,3
"000000101011","GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",4,3
"000000101110","GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,3
"000000110100","GLUTag_6h, GLUTag_24h, PCCL3_24h",3,3
"000000111000","GLUTag_6h, GLUTag_24h, PCCL3_6h",3,3
"000000111010","GLUTag_6h, GLUTag_24h, PCCL3_6h, QGP1_6h",4,3
"000001001101","MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",4,3
"000001011111","MGN3_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,3
"000001110011","MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",5,3
"000011000011","MGN3_6h, MGN3_24h, QGP1_6h, QGP1_24h",4,3
"000100000101","aTC1_24h, PCCL3_24h, QGP1_24h",3,3
"000100001001","aTC1_24h, PCCL3_6h, QGP1_24h",3,3
"000100001011","aTC1_24h, PCCL3_6h, QGP1_6h, QGP1_24h",4,3
"000101001100","aTC1_24h, MGN3_24h, PCCL3_6h, PCCL3_24h",4,3
"000111000000","aTC1_24h, MGN3_6h, MGN3_24h",3,3
"001000000101","aTC1_6h, PCCL3_24h, QGP1_24h",3,3
"001000001110","aTC1_6h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,3
"001000101010","aTC1_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",4,3
"001000111100","aTC1_6h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",5,3
"001001001000","aTC1_6h, MGN3_24h, PCCL3_6h",3,3
"001001001100","aTC1_6h, MGN3_24h, PCCL3_6h, PCCL3_24h",4,3
"001001010000","aTC1_6h, MGN3_24h, GLUTag_24h",3,3
"001011000001","aTC1_6h, MGN3_6h, MGN3_24h, QGP1_24h",4,3
"001011000011","aTC1_6h, MGN3_6h, MGN3_24h, QGP1_6h, QGP1_24h",5,3
"001011100000","aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h",4,3
"001100001010","aTC1_6h, aTC1_24h, PCCL3_6h, QGP1_6h",4,3
"001100100011","aTC1_6h, aTC1_24h, GLUTag_6h, QGP1_6h, QGP1_24h",5,3
"001100101100","aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",5,3
"001101000001","aTC1_6h, aTC1_24h, MGN3_24h, QGP1_24h",4,3
"001101000010","aTC1_6h, aTC1_24h, MGN3_24h, QGP1_6h",4,3
"001101000011","aTC1_6h, aTC1_24h, MGN3_24h, QGP1_6h, QGP1_24h",5,3
"001101100000","aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h",4,3
"001110000000","aTC1_6h, aTC1_24h, MGN3_6h",3,3
"001111110000","aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h",6,3
"010000000111","MIN6_24h, PCCL3_24h, QGP1_6h, QGP1_24h",4,3
"010000101000","MIN6_24h, GLUTag_6h, PCCL3_6h",3,3
"010000101111","MIN6_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,3
"010000110100","MIN6_24h, GLUTag_6h, GLUTag_24h, PCCL3_24h",4,3
"010001100000","MIN6_24h, MGN3_24h, GLUTag_6h",3,3
"010001100010","MIN6_24h, MGN3_24h, GLUTag_6h, QGP1_6h",4,3
"010011000100","MIN6_24h, MGN3_6h, MGN3_24h, PCCL3_24h",4,3
