Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Fam60a	43.6863279821017	42.5119236437384	41.1187347223134	45.7232999244367	50.7565413640428	47.1099916971051	27.2491742076357	37.4882163768894	37.3895415705124
Dennd5b	27.8972648762705	27.469523529883	30.5993668052909	26.6913700050392	32.8393915935105	33.8507858557265	30.2814561723075	26.7899989745813	28.7399214576742
Mettl20	0.585946199657217	0.611044070331149	0.645245787955395	0.820672007669572	0.711823388674496	0.826124989432254	0.316544804598106	0.646190094643599	0.487297302843989
Amn1	3.65527026315575	4.79513065894023	3.24241379527952	5.1058368548197	5.74483346624359	5.6113113732332	3.23248106342537	4.39694348222932	4.15202470893814
2810474O19Rik	14.0514343110771	12.3949063357082	13.3150310459415	31.2105202870471	25.7514026992148	24.3092772084968	27.7934459497377	17.094935528054	18.5432555867507
Bicd1	18.1675590104504	16.2208944869966	20.7987488508048	23.3585333763988	23.1541245878268	23.251723610242	29.8078689145668	18.2509434583325	20.46402208829
Speer9-ps1	0	0	0	0	0	0	0	0	0
AU018091	0	0.00493785200973453	0	0	0	0	0	0.00289067654812449	0
Mir290a	0	0	0	0	0	0	0	0	0
Mir290b	0	0	0	0	0	0	0	0	0
D7Ertd143e	0	0	0	0	0	0	0	0	0
Mir291a	0	0	0	0	0	0	0	0	0
Mir292	0	0	0	0	0	0	0	0	0
Mir292b	0	0	0	0	0	0	0	0	0
Mir291b	0	0	0	0	0	0	0	0	0
Mir293	0	0	0	0	0	0	0	0	0
Mir294	0	0	0	0	0	0	0	0	0
Mir295	0	0	0	0	0	0	0	0	0
Nlrp12	0	0	0.0347672458069747	0	0.0141954843479304	0	0	0.024714652721313	0
Myadm	2.8012084021499	3.37997200837019	3.67563967547645	1.55831811084043	1.4706531219806	1.6143618936064	2.34173723840274	2.13088109474946	1.74191337008648
Prkcg	0.0122412158702761	0.0345905080697838	0.0284861755338483	0.0271731415794308	0.0325665763480653	0.0315162131126511	0.0352696161112096	0.00674989653179247	0.0139048078805948
Cacng7	48.6540816571477	49.7520533763405	61.0686252197505	39.9092510859367	36.5515321041164	34.0615315881025	39.0111807553071	42.765165196448	34.3935002587702
Cacng8	0.0844271283188731	0.20242236442301	0.160746465082098	0.107903858199691	0.115222139696542	0.125150085453239	0.0442278170097153	0.118500429032696	0.0523095541975071
Gm23450	0	0	0	0	0	0	0	0	0
3300002P13Rik	0	0	0	0	0	0	0	0	0
Cacng6	0	0	0	0	0	0	0	0	0
Tarm1	0	0	0	0	0	0	0	0	0.0259701094046338
Oscar	0	0	0	0.0183048129712129	0.0164535195743241	0	0	0.0545636991858288	0
