Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
Hsd17b4	153.388901164667	136.310091126466	113.748723649697	104.284533457653	97.4349891133446	80.7220965142672	166.261195617861	181.434863282181	138.451745872554
Hsd17b2	0.162426372327019	0	0.8773208254799	0.98679492208491	0	1.29661452349741	0.159812153561476	0	0.212683861952193
Lcn1	0.0136602824652907	0.0163403323330719	0	0	0	0	0	0	0
Sost	0.0763698425230328	0.030451020082528	0	0	0	0.0508036582739623	0	0	0
Tspy1	0	0.0164413544804169	0	0	0.0379004702201569	0	0	0	0
Thoc6	19.6653983334632	20.3391903579557	23.7795832950476	20.8955616554739	8.20894905635382	23.7933373469081	20.2219817464969	12.4048528382374	24.863131404878
Hmgcl	25.5507220075019	20.2361676898293	28.7779774710716	27.1165003813691	13.4046670366845	21.6539114432076	41.2869224111482	17.7350958962298	42.9791920274732
Atp5g3	350.544094465966	284.541834501133	427.16826987683	273.499049025554	112.01110075762	211.687842272922	283.409934863999	121.43050663938	310.264405078995
Cited2	46.650406263792	46.5909783620833	61.5253058707404	232.052865119497	258.41025998636	231.483383979678	208.765017815365	280.088573531063	193.144438698188
Hdgf	172.199253626991	221.335372689241	187.23461360206	165.657210476213	194.418130970981	177.975693379143	178.551017479619	206.945884320907	162.363985661078
Dag1	297.241264625553	310.938770943939	183.746829568347	139.471624111903	175.208687574021	112.589532253262	183.270092187436	219.429310360542	147.774121611524
Nfil3	8.53552218184433	13.0952539482581	11.08795161408	24.3844867603766	21.7812441411717	27.8512237954614	14.8846238499102	14.7701831053441	14.6564391026407
Trpm7	334.85077854009	380.269243085734	385.618779114074	360.602645266635	510.998591424427	447.796852616864	314.989754669668	375.377011382622	363.151769073139
Ccna2	32.9650903401915	66.0248452424107	16.4634523363263	17.8520257964006	51.4337032581109	14.5957443366011	2.37961834739582	3.56848986400218	9.37050363780178
Bik	0.0442063490550336	0	0	0	0	0	0	0	0
Syngr2	67.2459353390725	77.7784294550405	65.9101835453589	56.5914874372164	24.818763760222	84.1862175897087	105.301955471246	64.9036600224123	87.2853332318331
Map2k6	6.56580615964763	6.50554780413979	2.43549203805758	1.01664579202652	0.32719709131501	0.394679272580522	0.505913863442759	0.249136372447233	0.725080119435237
Lyst	19.9014259831839	20.6902991732689	22.7008634656296	12.337778552997	16.6305287472151	15.3670712926576	22.8653700269688	28.7026118250821	25.2093879177818
Mst1r	0.037295244624482	0.0148707684280006	0.0134296314617962	0	0.0342799686380824	0	0.0366949853995419	0	0
Actl11	0	0	0	0	0	0	0	0	0
Gfi1b	0.0592856258993617	0.106375563488298	0	0	0.0817386807748052	0	0	0.112028322143772	0
Agpat2	24.1554797301305	28.5534407258063	30.2657287026544	25.7968093330184	13.6724076230225	26.7743634968628	34.7758014509892	23.3269499726999	33.3245528106507
Nelfb	51.914258392696	53.1504943658606	51.5209620168965	59.6854894073951	27.9597860977814	59.1876610885677	53.3658155549513	30.6969944301814	52.6186477574101
Tor4a	22.1856961220471	23.4958969040959	19.5342167014421	12.1467529753988	5.17052615339582	11.5969514277371	19.2712938515716	11.4367118013162	15.4448889270899
Lingo3	0	0	0.0302730978119902	0	0	0	0	0	0.0244631122728625
LOC683469	0	0	0	0.0898983275640152	0	0.0239937962465581	0	0	0.041980861439865
Ints13	39.073330768756	44.657426294968	35.262643804271	56.1793744296344	72.9210474310792	44.5167762915984	34.7691554975469	52.270971310519	32.9972159236162
Smurf1	44.5790828057675	50.6350574809695	35.5400817527292	38.6153499178656	31.4563339134039	37.7509516842762	38.8294644324268	38.3835991573496	38.3767859349058
Amigo3	3.80781896945053	5.80747946965551	2.93084635088285	27.7605393959587	10.0405141326411	31.6793666298234	10.1156388653952	7.0754729775014	8.89174119023323
Tnfrsf21	0	0	0	0.0350710950887042	0	0	0	0	0
Trerf1	21.5382724421198	27.6342672622348	10.430091299491	3.39781101912144	7.16785354486753	1.52120668203178	12.6534345892944	15.5608570538163	8.56484923637368
Rbbp4	142.096794595924	133.011778855129	114.056826956461	82.2366015102529	43.1242005467076	71.8370016687159	95.5273968626846	53.0128718049043	98.3857492649244
Ppp1r8	72.5138944095057	71.9089436884551	74.7161391866218	81.9467808881903	77.6967570228352	71.6541958045148	70.4795357823652	76.32237894068	71.3029674194569
Kif18a	3.94187180441677	7.43752611048928	3.59962659712913	5.30783269600399	10.9477265773324	5.56758411594014	0.70453461824866	1.05389386231452	2.41986532223017
Fgd6	39.4249412230756	36.4114689190153	27.4790590678202	28.2602884224778	26.9482213179436	33.6646207914221	9.93457270225515	9.52240738222062	13.0999966221179
Ankrd33b	0	0	0	0	0	0	0	0	0
Sorcs1	0.0472269988576965	0.0903881580357284	0.0102035720010673	0.0529698324122541	0	0	0	0	0.00824531169543816
Il12rb2	0	0	0	0	0	0.00869686930269723	0	0	0
Atg16l2	2.84536825719252	2.39172537653248	3.65528567229973	6.88827309615157	4.06435429266988	7.73758142974372	5.27126741340065	4.1980346515562	5.19146848814172
Tcte3	0.106749709855469	0.255386481198981	0.153757861244493	0.0665169686110533	0.0245297808260502	0.0177533290667264	0.140042127228929	0.156891948317387	0.170842088510447
Syce2	0.645685034547505	0.66704148722035	0.570692853802271	0.548636933070817	1.09254672322759	0.966443189079598	0.375400331014456	0.665514785012507	0.640508330136554
Wnk2	6.82148094849049	4.65742397059098	1.2786451680637	1.16453233429393	1.46013054974258	0.652706895092447	0.337116880849032	0.235436053542078	1.41391933444925
Nsd2	123.502219722084	149.778157180799	128.950976946643	114.154728403391	121.704179980563	149.260279570298	76.5039218962657	73.3570070960662	95.7680664739443
