genes	logFC_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_TgvDMSO_6h_MIN6	FDR_TgvDMSO_24h_MIN6	FDR_Tg_24hv6h_MIN6	MIN6_DMSO_24h_n_1	MIN6_DMSO_24h_n_2	MIN6_DMSO_24h_n_3	MIN6_Tg_6h_n_1	MIN6_Tg_6h_n_2	MIN6_Tg_6h_n_3	MIN6_Tg_24h_n_1	MIN6_Tg_24h_n_2	MIN6_Tg_24h_n_3	avg_expression
Cdh5	6.89982209108782	4.23410619901835	-2.66571589206947	0.00969706756692872	0.314590852433451	0.0629646622046498	0	0	0.0171663400939215	0.0395903420432236	3.13735579662603	1.56085258488572	0.276594380980225	0.19022824712451	0.0166129379494534	0.582044514411454
Cdh6	-0.941230435598577	-1.72640236588306	-0.785171930284483	1.57848916976329e-05	3.63301977200919e-09	0.000447023698440368	68.7753040262498	79.3565818459399	64.2134605195656	43.1691164273131	53.3295817634664	38.5774442031707	22.2794435648197	25.5118661369269	22.6433334346008	46.4284591024503
Cdhr3	4.60938387698345	1.72484863754364	-2.88453523943981	0.00217031487121451	0.467193935277168	0.011797753308892	0	0.107102183869987	0.0695140856224563	0.40079691005153	4.08881681691135	2.61250674573639	0.326682035985025	0.114121201495774	0.201819348458751	0.880151036459029
Cdk14	-0.646986570064391	-0.700881467816376	-0.0538948977519847	0.000209984512551979	3.51569273891643e-05	0.744713592864442	105.583716268935	103.131578130211	98.8686671422475	88.5114368299785	85.085765937027	60.7586929392957	72.5265907169252	66.0996052529822	67.6349745598191	83.1334475308246
Cdk5	-0.685377442985472	-0.450872549045976	0.234504893939496	0.000195916762418301	0.00202019333670069	0.144399520509758	62.5797240053132	48.9008691553159	51.9006192177033	39.49011576429	42.0118761297031	39.7236527794354	42.5560043880072	50.1897336283853	38.161290772835	46.1682095378876
Cdt1	0.599697716852566	0.320308323388526	-0.27938939346404	0.000278740255360189	0.0183958625171631	0.0470360376797084	53.7299280458288	53.8428732839299	56.90114450086	110.414554764087	91.6179094035324	90.1288287186087	71.3596618173865	76.4056158409198	75.8906150358902	75.5879034901159
Ceacam16	5.02133067291725	1.88052105844898	-3.14080961446827	0.0333712032440171	0.669809963837543	0.0834827056373153	0	0	0.125550516723617	0	4.87929460717072	2.66366414822516	0.505736331462007	0	0	0.908249511509056
Ceacam19	4.31877483122504	1.2852637030649	-3.03351112816014	0.0187007429816517	0.701871298237715	0.0480268191816419	0	0.0564604728892718	0.0610756009649251	0.164333490581676	2.88680251793293	1.14768408511746	0.287025305642303	0	0.0197022227511221	0.513675966208854
Cebpe	5.25943261043145	1.99307240086332	-3.26636020956813	0.0145447777059834	0.617318721395401	0.0435560245514942	0	0	0.165811869824809	0.509877555361193	6.61814115931356	3.91988332359976	0.0556595922146192	0.816639518619599	0	1.34289033543706
Cecr2	2.22072557447513	1.23749958012658	-0.983225994348552	0.0339645661434764	0.290899295695579	0.2582456192223	0.0913204869478265	0.102986893184002	0.0816970962507416	0.205544908348146	1.33397244468092	0.513229608873268	0.231857574081478	0.420655480537908	0.100626114113893	0.342432289668687
