genes	logFC_TgvDMSO_6h_aTC1	logCPM_TgvDMSO_6h_aTC1	F_TgvDMSO_6h_aTC1	PValue_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	logCPM_TgvDMSO_24h_aTC1	F_TgvDMSO_24h_aTC1	PValue_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	logCPM_Tg_24hv6h_aTC1	F_Tg_24hv6h_aTC1	PValue_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Dpf3	0.0335534392622127	2.00216006101614	0.0277835798735165	0.870755291226303	0.914659984606549	-0.371129710308297	2.00216006101614	2.87631402839485	0.11901911242966	0.236394004781799	-0.404683149570509	2.00216006101614	3.83205574994489	0.0771173224586101	0.232196183661669
Hsf4	0.0246875646063299	4.88270386775475	0.0277709180833175	0.870784085282283	0.914659984606549	0.205038857081745	4.88270386775475	1.88464945295845	0.198145610785066	0.338500981319559	0.180351292475416	4.88270386775475	1.49330857115477	0.248177197981595	0.463801759063978
Xkr7	-0.0523338574522492	2.60322336186897	0.0277506195643308	0.870831014541161	0.914659984606549	0.248027829420288	2.60322336186897	0.591433638296757	0.458655984532733	0.608591034746527	0.300361686872537	2.60322336186897	0.953893709595963	0.350490020478046	0.563957743747709
Atp13a1	-0.0161350905654219	6.34643775638595	0.0277423044907059	0.87084999799008	0.914659984606549	0.148764531449468	6.34643775638595	2.34160399147319	0.155233200716588	0.28567424806782	0.16489962201489	6.34643775638595	2.9023966820004	0.117538424979632	0.298913799566293
Cacna2d1	-0.0237518760736864	7.60578881271605	0.0276398834949961	0.871086225989257	0.91483215167395	-0.048348767087591	7.60578881271605	0.11399973299486	0.742225707552741	0.836061222574544	-0.0245968910139045	7.60578881271605	0.0296111790075929	0.866615973131765	0.929661293205281
Rin2	0.022067442101883	4.5898937476252	0.0275465590840651	0.871301878481673	0.914982683146591	-0.0877517696266878	4.5898937476252	0.420524810022046	0.5304696323766	0.672091106431878	-0.109819211728571	4.5898937476252	0.676977930326549	0.428747141827324	0.633778343077381
Atxn7l1	0.0428139277942631	3.75065889642461	0.027421912595449	0.871590526985789	0.915209838777011	0.308344607663479	3.75065889642461	1.36741582884237	0.267874706220687	0.419657105386842	0.265530679869216	3.75065889642461	1.06654203215172	0.324710992453035	0.541357406031187
0610007P14Rik	0.0137916203312553	5.7247660860133	0.0270805140671997	0.872384410570894	0.915967432576179	0.0339490044775936	5.7247660860133	0.161891106492917	0.695414234232974	0.8025490764132	0.0201573841463383	5.7247660860133	0.0578226124753612	0.814557246457678	0.901879608137091
Scrn2	0.0331632603377777	2.38459322624001	0.0270189139109575	0.872528443376294	0.916010038960528	-0.369993742809308	2.38459322624001	2.93248301545835	0.115865112528348	0.23209711901657	-0.403157003147086	2.38459322624001	3.84014515314264	0.0768478717288312	0.231836118297965
U2surp	-0.0245050115036372	7.37190810054452	0.0270011164397427	0.872569790511562	0.916010038960528	-0.0550527088367851	7.37190810054452	0.135554337574809	0.719986196329088	0.819957103937139	-0.0305476973331479	7.37190810054452	0.041903468168355	0.841680537458449	0.916425699690537
Map2	-0.0255944091111966	8.84064276436529	0.0269585853355913	0.872669209188173	0.916013775026921	-0.448632215810664	8.84064276436529	8.22546811966318	0.0158267176856354	0.0574410878252034	-0.423037806699467	8.84064276436529	7.32711980285796	0.0210178128299583	0.108597339870143
Slc10a7	0.0165725065434374	4.39752727732944	0.0268933506359993	0.872821869061672	0.916013775026921	0.0289136951253743	4.39752727732944	0.0794702377362893	0.783443049040458	0.865007544852071	0.0123411885819368	4.39752727732944	0.0149388811762972	0.905006929207778	0.950929961659065
1110065P20Rik	0.0376693429790377	3.77306198998596	0.0268927852304564	0.872823230298548	0.916013775026921	-0.144789210624692	3.77306198998596	0.379517581703595	0.550858471679634	0.689635996802962	-0.18245855360373	3.77306198998596	0.63007015517974	0.44473242572903	0.646486846794173
Sra1	-0.0228096888348084	5.38760885732962	0.0268758023724694	0.872862952238741	0.916013775026921	-0.325974919177547	5.38760885732962	5.35836657788002	0.0417735563900875	0.112375939749872	-0.303165230342739	5.38760885732962	4.70500653863551	0.0537561038314108	0.189055966269116
