genes	logFC_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	FDR_TgvDMSO_6h_MGN3	FDR_TgvDMSO_24h_MGN3	FDR_Tg_24hv6h_MGN3	MGN3_DMSO_24h_2	MGN3_DMSO_24h_3	MGN3_DMSO_24h_4	MGN3_Tg_6h_2	MGN3_Tg_6h_3	MGN3_Tg_6h_4	MGN3_Tg_24h_2	MGN3_Tg_24h_3	MGN3_Tg_24h_4	avg_expression
Axin2	0.68398516487516	0.26616891790356	-0.4178162469716	0.0356580157419205	0.307868604318997	0.161833374739293	55.9545555571166	44.4903982925645	46.3210719573537	91.627087771905	82.0838029342628	93.5857083961237	65.8486749994319	63.9201123699456	58.3497170441464	66.9090143692056
Bbs4	0.95205998886619	0.281900801049653	-0.670159187816537	0.0289718658305758	0.416274565806867	0.0885445967799224	2.12235204008231	1.5087110470903	2.00230088534927	4.28305431957407	3.69313606035169	4.33755859330385	2.49183115725552	2.12391157963589	2.59167935506856	2.7949483375235
Bend4	0.696773008558815	0.765633902548876	0.0688608939900608	0.0338774418415331	0.010992809697169	0.860893128682833	27.577893540217	20.5384156654403	26.6962917604074	45.6103314563257	41.7345249860766	49.5119780976934	55.0918233746124	42.9461256629031	37.7405169205312	38.6053223849119
Bpnt1	-0.939167090431533	-0.448542170926295	0.490624919505238	0.0165878676407946	0.104355979548331	0.131196065228105	132.332929471244	88.9525888312584	138.326530341989	70.5043020547157	66.3828205095489	73.2853107209629	98.5828594258986	104.997508949527	76.2022129554268	94.3963403622857
C1ra	-1.8196271684547	-0.737057741899059	1.08256942655564	0.0262155835098884	0.192836999451599	0.15206681611289	0.499081644548802	0.435256538068761	0.370143897133087	0.193613538517495	0.0743749767304423	0.13506546152474	0.284608727678503	0.323407343626637	0.225355516205846	0.282323071559368
C2cd5	0.722575108072811	0.756344130509106	0.0337690224362944	0.0362743132207346	0.0144155237818168	0.941520723528761	7.89683802233752	6.99117785274445	8.40774457410057	13.781600022471	14.8000617590177	14.7054826780883	14.85042561455	13.1818951731653	13.7729081127598	12.0431259788038
Cblb	1.04403992725368	0.425572711429492	-0.618467215824193	0.0182776901531025	0.178052100064781	0.0989090589209458	136.884964020177	106.453493517594	112.078686171604	271.461404646694	293.305967961741	258.391120272757	177.376102586692	155.257259305276	173.097268222025	187.145140744951
Ccser1	0.726877488796652	1.09449628155533	0.367618792758676	0.0320917311755591	0.00272384292711062	0.221669607253428	17.6153853186185	15.3971536513459	16.0272970798944	32.1537277762611	28.2777732708423	31.7410455439097	38.3603674323557	36.8852886454084	36.2582541941811	28.0795881014241
Cd302	-1.09761914386675	-0.118905819883191	0.978713323983557	0.0326052881864952	0.805451358278531	0.0502536938684711	1.84800841584234	1.39665211123301	1.73008304310704	1.15525838430473	0.692426718988581	0.789804318197361	1.61704447046392	2.03159960676491	1.26137115703108	1.39136091399255
Cep85	0.792727842735672	0.546007530668105	-0.246720312067567	0.0348744640637491	0.0702328835874615	0.493497980657781	17.3863060127936	19.5443440515882	17.3856920993241	38.3503641566533	30.7001741699476	39.0772305117718	29.2344748984041	27.2364931439487	28.5015457280943	27.4907360858362
Chchd5	1.13445496877716	1.0539981984169	-0.080456770360258	0.0309218646170534	0.019027012594328	0.900401286869204	1.47778879471255	0.978062893708257	1.64561011032768	3.91355256121019	2.38789969084496	3.96145035344945	3.87601767555808	2.91241391466082	2.31765367352592	2.60782774088866
Clic5	-0.686914919486513	-1.06323556713107	-0.37632064764456	0.0361338496337267	0.00288606166201054	0.209730772412606	7.33479323415674	6.09379419729478	7.06870744745587	4.86517324025117	4.60198759305883	4.92308390543926	3.25892721751885	3.6582427589115	3.48010742083856	5.03164633499173
Col4a1	-1.26571701735355	-0.627809777841143	0.637907239512402	0.0395390696077561	0.199857668828063	0.263801786256481	21.0882069269205	16.0685171968312	26.0119776346175	9.565419361485	5.5908259117	14.9305081244266	12.6598813774203	15.6635533628542	14.6601572641474	15.1376719067114
Cpeb3	1.34192375737179	0.906185481392318	-0.43573827597947	0.0180450066712563	0.0349511220419824	0.352675673739633	5.77179530002173	4.31907819702599	4.31686456771201	10.9180713700434	16.0227862306361	13.8023189448688	8.77610578254107	10.3090696553932	9.53352974725369	9.30773553283289
Cthrc1	-1.76075082043001	-1.91635874472389	-0.155607924293885	0.0403406695130038	0.0177520802953509	0.910891100992746	0.18730420007886	0.164139917769231	0.215092890243381	0.0968836244264666	0.037217011617337	0.0491537055914107	0.0495364659742253	0.0719253550290635	0.040095009171037	0.10126090887789
D11Wsu47e	0.867161442458609	0.391455002811864	-0.475706439646745	0.0470594858453468	0.275861763380135	0.243852908302413	12.6917648406331	9.14660651921635	14.8789849192406	31.8693679171196	18.0349134204399	26.3627066631458	20.8516027173521	17.9882892904005	12.6456772586762	18.2744348384694
Dcaf5	0.759647804722316	0.307140032535321	-0.452507772186995	0.045776005375925	0.332071442121881	0.204560747336832	35.6096965414901	33.720525740588	33.5484406866413	72.1662922608776	63.2310072594402	62.5592541678733	44.7466275530574	40.6971028365814	49.5478062277855	48.4251948082594
Ddx6	-0.75201381473695	-0.223774097622263	0.528239717114687	0.0413045685946479	0.476436107677056	0.132118176620384	56.5399147886809	57.7092290490362	57.6140961540025	38.9630297699523	36.2949272009697	41.0241941316894	47.9060291466151	55.049568459315	53.8543239832132	49.4394791870527
Degs1	-0.695327683077012	-0.70492578707296	-0.00959810399594782	0.0493315324814103	0.0253639629186132	0.983017105403024	189.920342177661	176.274901742173	196.105352043555	128.926161922853	137.978399248473	124.351822296465	119.091095611505	140.034723125676	109.787808114592	146.941178475884
Dgki	1.57110399289939	1.12728420072139	-0.443819792177998	0.0289718658305758	0.0513126632071621	0.461967516123721	0.341170015592977	0.282250865187288	0.225574007750113	0.914441415532405	0.979871839075359	0.940088851227806	0.910497280336789	0.60741126846046	0.448151386226674	0.627717436598875
Diexf	0.637539381597973	0.456628692368955	-0.180910689229017	0.0388168527554167	0.0705808746272846	0.558861912394591	24.9109449255642	24.5063550679363	25.1215866414485	49.054816358758	38.4593634080536	44.9364124002305	38.1358590989536	38.0682779114627	33.3901226761976	35.1759709431783
Dnaja1	-1.19594210939246	-0.867404612339494	0.328537497052966	0.0455281437832839	0.0774781751816374	0.592233365536802	107.094522510656	156.629776532463	126.175325051871	59.5277840293228	67.9278581745145	67.5068803731608	64.816709628849	68.4148136044395	94.5361022633785	90.2921969076284
Eef1g	-0.639477242093592	-0.0924913699251682	0.546985872168424	0.0486304069935031	0.772520421211064	0.0863710416893117	90.1535404059628	92.8542817043737	93.7966739875666	76.3368227599321	54.4712698967797	73.3839743486396	98.673883960883	98.0307917336532	82.3760239440075	84.4530291935331
Errfi1	1.13901256515237	1.67077901878119	0.531766453628825	0.0118574785361192	0.000981776701686937	0.133118932468568	9.28713876427855	5.8115838868141	9.12225604547349	19.3058323223217	17.5481195097532	23.1993588944621	29.8216809939244	30.3470936681287	21.8590431984058	18.4780119203958
Evl	-0.602272187417794	-0.544588500346301	0.0576836870714928	0.0455281437832839	0.0357851498877815	0.881923967241139	26.3889932216657	22.6099024510624	24.9670950477601	20.5118137357422	14.4533628424121	20.7755640790548	19.9118410547173	17.4405632382487	16.7507847130252	20.4233244870765
Ezh1	0.752049159386697	0.299784364415843	-0.452264794970855	0.022806989571171	0.214563299678996	0.111698954389945	28.9065390784047	21.8141268220847	26.7947780276232	57.4029932285235	39.4666693244354	51.7205076691324	35.2734893419474	34.6064893067693	31.4282995548938	36.379321372646
F3	-1.32167990975461	-2.00828316597047	-0.686603256215854	0.0313418558895681	0.00285534176110794	0.222771074499526	1.4258485317179	0.943686639059228	0.951495351339964	0.594554907864141	0.554506770956963	0.342165835862676	0.284333743400553	0.311828562188152	0.27910698007124	0.631947480273424
