genes	logFC_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
B3galt6	-1.82592411365048	0.000589825982517001	-0.721217807133295	0.042740136363928	1.10470630651719	0.0119886918325997
Angptl2	-2.44470675028107	0.000589825982517001	-2.35962990127288	0.000851070926824712	0.0850768490081902	0.868401380939447
Nudt4	1.41941914101287	0.000589825982517001	0.853003281205664	0.00831258167543301	-0.566415859807208	0.0513269566982207
Fndc3b	1.97837808810157	0.000589825982517001	1.31440667216103	0.00468171265937046	-0.663971415940534	0.0846340638030117
Tas1r1	-2.681471515489	0.000590322689076982	-2.31962958046228	0.00118455202295398	0.361841935026713	0.508135044789694
Itga5	2.04056133570065	0.000597759070056498	0.556375888505691	0.158626357640432	-1.48418544719496	0.00533343548155095
Coq10b	1.61104329305819	0.000597759070056498	0.878701769505082	0.0136019960195047	-0.732341523553111	0.0327807630381924
Il18r1	-2.64827416716214	0.000597759070056498	-1.91015826745592	0.00255402650901107	0.738115899706222	0.163113368192604
Strada	-1.33990262178868	0.000597759070056498	-0.177492244215369	0.525950144737032	1.16241037757331	0.00224873925672588
Msn	1.82510026298131	0.000597759070056498	0.96222873113576	0.0154261668298981	-0.862871531845551	0.0283112439682701
Igsf9	2.40208443549966	0.000597759070056498	1.97421100034879	0.00171123353556744	-0.427873435150868	0.327840835996515
Hif1a	1.79483596078388	0.000597759070056498	1.39485899527815	0.002322398846776	-0.399976965505733	0.236589684371226
Inpp5a	1.4065294098977	0.000597759070056498	0.711137840480056	0.0195138845873303	-0.695391569417644	0.0251715306251783
Tspan17	-1.63360636324543	0.000598524185970867	0.552093503390316	0.0771103063415964	2.18569986663574	0.000286596746778235
Zmym3	-1.6413465238883	0.000602961969737856	-1.26926343615393	0.00238767758962459	0.372083087734373	0.234955976284485
Gusb	-1.84466009613215	0.000602961969737856	-0.546226469441582	0.122426708963401	1.29843362669056	0.00665853517564197
Tmem14a	-2.62349886257884	0.000602961969737856	-2.3776516440694	0.00100974144190195	0.245847218509441	0.680385732611127
Syvn1	1.63723004891127	0.000602985749358086	1.24012932317062	0.00268080910689967	-0.397100725740649	0.202624966240257
Hid1	1.81629071109337	0.0006240931922468	1.85259872464508	0.000758550833436753	0.0363080135517159	0.930859421341326
Il6st	1.33703573807915	0.0006240931922468	0.882482010773302	0.005735556821115	-0.45455372730585	0.0911676753021719
Sec31a	1.45242577150261	0.000640263713843701	1.08430042663079	0.00305134503611968	-0.368125344871815	0.190458072634758
Tfap4	-1.83182051697075	0.000644336873929826	-0.420020873434457	0.223332962000458	1.41179964353629	0.00485769069387757
Snn	-1.88587902076252	0.000644336873929826	-1.24105426905537	0.00531146508421431	0.644824751707152	0.0964582725379318
Exoc6b	1.71473683699008	0.000644336873929826	0.582262179855746	0.0922208365313796	-1.13247465713433	0.00927030463098527
Serpinb9	-3.11225581392937	0.000644336873929826	-3.11851448535767	0.000839712466212626	-0.00625867142830641	0.993614707943465
Eid2b	-2.50909138264379	0.000644336873929826	-0.426207568353955	0.334004229403208	2.08288381428984	0.00362998382801053
Noct	2.29794942166737	0.000644336873929826	0.382971035850356	0.427203502539323	-1.91497838581701	0.00298819038534055
Cmip	1.19882631935991	0.000644336873929826	0.913261976510213	0.00290337056171026	-0.285564342849701	0.22242688410967
Aqp5	-3.0226857881137	0.000644336873929826	-2.77454426956665	0.00100974144190195	0.248141518547053	0.748536613508984
Pdia6	1.61965984563487	0.000644336873929826	1.43505734114544	0.00141027889470293	-0.184602504489435	0.564242664979121
Scfd1	1.18481949773112	0.000648146878931684	0.750452446218205	0.00775580691296288	-0.43436705151292	0.0752432039757103
Cep78	-2.58494079389673	0.000648146878931684	-1.43209163586888	0.0112195503299574	1.15284915802785	0.0411702150405325
Ppp2r3a	2.01407227049962	0.000648146878931684	1.02564058487384	0.0204843792700681	-0.988431685625781	0.0263379693118392
Copb1	1.1844981301206	0.000648146878931684	0.479042541825735	0.0530259757869707	-0.705455588294861	0.0146811197361915
Rapgef3	-1.76694153734261	0.000648146878931684	-0.966415130185003	0.0140516141467604	0.800526407157604	0.0397272872716358
Tbc1d14	-1.42403008297628	0.000648146878931684	-0.840046286216205	0.010882721712552	0.583983796760073	0.053540032022887
Cxadr	1.69825298622947	0.00065006927098187	0.592451327009319	0.0879995023531604	-1.10580165922015	0.00974659430149182
