Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_40_PCCL3_2_DMSO	KRS7_41_PCCL3_2_Tg6h	KRS7_42_PCCL3_2_Tg24h	KRS7_43_PCCL3_3_DMSO	KRS7_44_PCCL3_3_Tg6h	KRS7_45_PCCL3_3_Tg24h	KRS7_46_PTH-C1_1_DMSO	KRS7_47_PTH-C1_1_Tg6h	KRS7_48_PTH-C1_1_Tg24h	KRS7_49_PTH-C1_2_DMSO	KRS7_50_PTH-C1_2_Tg6h	KRS7_51_PTH-C1_2_Tg24h	KRS7_52_PTH-C1_3_DMSO	KRS7_53_PTH-C1_3_Tg6h	KRS7_54_PTH-C1_3_Tg24h
Tmem161a	23.1034546462282	16.7075361711123	22.542494450423	24.46331402411	7.84408665648707	12.8332155769883	26.909730472371	18.028710316587	23.6244575650873	9.12520041881269	10.335372348637	12.2888714699108	13.4014901496378	13.4705487043309	12.6233232459694	10.1431571884764	11.6878543909239	7.87772818720983
Tex13c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam98c	13.1155104005749	7.36805242741642	13.7511656339662	14.123929655414	5.79026267682168	8.36959980919279	13.9451560243619	9.99580003644756	13.9733297302591	4.42179101428293	3.39016821928588	4.77235370645186	2.84670573057032	3.18897884195076	4.24286461362892	3.72637278480865	1.98010799062279	3.12589228342552
Cenps	7.70016951962354	2.58910517067709	2.9850697805531	10.2562347986245	4.22838540225661	3.28191747194981	3.45554875692265	0.67457712877491	2.37494788369669	8.42107962386368	7.19363104997729	6.73665976649675	9.10359022850621	9.80684832690873	5.91881393695653	8.67898822079874	9.32185750132502	6.35323795786924
Ankhd1	29.1181613930493	34.9310176174649	26.7739570777889	33.3874924930823	57.5064170052833	41.1761915608083	28.5838371249054	40.7649486473021	31.1587085976824	76.575391264195	157.177799122467	79.8230835160451	73.9836867317037	171.472049308081	96.1637615611849	76.103011544224	164.51668412608	119.103565371425
Oxr1	55.1348312900189	22.6676599008062	33.5294137024557	61.4688870692849	32.8077203857272	44.7306240779366	50.4771533836953	22.186261795459	28.1647633614557	48.2510772912915	36.7312744200093	60.449455491561	34.12397737257	35.6247156780707	42.3729395132732	33.3523786564679	29.8487237848046	46.2833814310331
Gje1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp1	51.2927572535199	45.5870882093741	39.5544511601583	57.5892886661893	36.6135690736193	39.8894288026677	37.645520210553	41.2670953676426	36.6818994667565	38.9384366485301	50.6524477878222	31.5002957086998	33.6425531630178	52.6117108066193	31.5719491280517	36.3122810263916	46.7490975996873	30.0110588788425
Shisa8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlxipl	0.189377332065397	0	0	0	0	0	0.051144612452555	0	0	0	0.0932521870433563	0	0	0	0	0	0	0
